iter	Passed	Remaining
0	0	70
1	1	66
2	1	62
3	2	57
4	3	57
5	3	57
6	4	56
7	4	55
8	5	54
9	6	54
10	6	53
11	7	53
12	7	52
13	8	52
14	9	51
15	9	50
16	10	49
17	10	49
18	11	48
19	12	48
20	12	47
21	13	47
22	13	46
23	14	45
24	15	45
25	15	44
26	16	43
27	16	43
28	17	42
29	18	42
30	18	41
31	19	40
32	19	40
33	20	39
34	20	38
35	21	38
36	22	37
37	22	37
38	23	36
39	23	35
40	24	35
41	24	34
42	25	33
43	25	32
44	26	32
45	26	31
46	27	31
47	28	30
48	28	29
49	29	29
50	29	28
51	30	28
52	31	27
53	31	26
54	31	26
55	32	25
56	33	24
57	33	24
58	34	23
59	34	23
60	35	22
61	35	21
62	36	21
63	36	20
64	37	20
65	38	19
66	38	19
67	39	18
68	40	18
69	40	17
70	41	16
71	41	16
72	42	15
73	43	15
74	43	14
75	44	13
76	44	13
77	45	12
78	45	12
79	46	11
80	47	11
81	47	10
82	48	9
83	48	9
84	49	8
85	49	8
86	50	7
87	51	6
88	51	6
89	52	5
90	52	5
91	53	4
92	53	4
93	54	3
94	55	2
95	55	2
96	56	1
97	56	1
98	57	0
99	57	0
